company_id,street,parish,city
774,66 Seal Rock Parkway,Portland,Grants Pass
1403,1193 Fillmore Run,Hanover,Reno
700,914 Andrew Line,Clarendon,Fremont
1179,1120 Martin Luther King Jr Thruway,St. James,Fort Collins
999,28 Springfield Plantation,Westmoreland,Vineland
1120,310 Dorado Gate,Kingston,Paducah
1226,345 Olympia Loop,Trelawny,Akron
1245,418 Richardson Highway,Kingston,New York
709,380 Huron Walk,Manchester,Murfreesboro
364,388 Dalewood Run,Clarendon,Durango
1327,538 Chenery Court,St. James,Folsom
804,660 West Townline,Hanover,Lawrenceville
614,896 Key Sideline,St.Andrew,Jackson
842,81 Granada Green,Portland,Fort Walton Beach
345,928 Adair Avenue,Hanover,Burlingame
1354,507 Jessie East Spur,St Mary,Oviedo
1282,351 Jerrold Private,Clarendon,Rocky River
1091,237 Glover Plantation,Kingston,Allentown
1269,220 Balhi Wynd,Kingston,Tallahassee
509,180 Granville Bay,Hanover,Woodstock
1338,1244 Kramer Gardens,St. James,Gilbert
496,693 Owen Walk,St. James,Millbrae
863,471 Havelock Field,St. James,Fishers
557,1231 Fayette Gardens,Westmoreland,Royal Palm Beach
1223,141 Carter Private,St Mary,Ann Arbor
1141,664 Temescal Wynd,Trelawny,Flint
466,998 Belvedere Townline,Hanover,El Mirage
969,1030 Lulu Park,Westmoreland,Marshalltown
635,915 Hale Garden,St. Catherine,Pflugerville
487,1172 Mansell Extension,St. Ann,Norristown
923,770 Onique Esplanade,Clarendon,Upland
463,201 Donner Heights,St. Thomas,Normal
1119,587 Elliot Concession road,St. Catherine,Hurst
748,381 Miguel Mall,Clarendon,Fort Worth
1140,425 Gould Alley,Trelawny,Rutland
758,670 Dr Carlton B Goodlett Place,Kingston,Encinitas
1396,104 Ankeny Grove,St. Ann,Detroit
519,336 Spring Valley Terrace,St. Ann,West Valley City
1215,72 Matthew Mews,Portland,Victoria
1091,292 Getz Thruway,St.Andrew,Dana Point
1437,444 Linden Path,St. Ann,Brandon
1327,1152 Anderson Green,Trelawny,Indio
864,41 Kelloch Glen,Kingston,Charlottesville
918,626 Ver Mehr Ferry,St. Thomas,Atlanta
1155,1249 Hooper Trace,Portland,Bellflower
1453,420 South Park Annex,St. Elizabeth,St. Marys
998,633 Rousseau Mall,Trelawny,South Euclid
1199,400 Bryant Mall,St. James,Gardena
696,426 Hazelwood Route,Westmoreland,Wausau
402,257 Mcrae Stravenue,Westmoreland,Marlborough
1391,7 Reno Plantation,St. Elizabeth,Brawley
416,84 Castle Mews,St. Thomas,Howard
775,801 Harkness Turnpike,Westmoreland,Dania Beach
1428,86 Hunters Point Close,St. Ann,Portsmouth
1261,807 Dellbrook Turnpike,St. Catherine,Monterey
1441,1051 Garlington Wynd,St. Ann,Vestavia Hills
1002,26 Madera Bypass,Clarendon,La Crosse
420,406 Plymouth Annex,St. Catherine,La Puente
1059,657 Duboce Path,Trelawny,Elizabeth
1238,669 Gennessee Trace,St Mary,Manteca
350,244 Santa Clara Extension,Kingston,San Antonio
1369,1386 Continuum Grove,St. Ann,Montebello
849,501 Ambrose Bierce Glen,Portland,Montgomery
738,1380 Persia Bypass,Clarendon,Elk River
1277,24 Russia Route,St. Catherine,Indio
1020,15 Lansing Field,St. Thomas,Snellville
1350,1244 States Mall,Portland,New Brighton
798,32 Hampshire Wynd,Trelawny,Orlando
869,460 Houston Gate,Clarendon,Huntington Beach
1140,973 Saint George Mews,Portland,Morton Grove
340,1386 Spencer Square,St. Thomas,Evanston
941,87 Britton Bend,St.Andrew,Liberal
497,834 Gateview Street,Westmoreland,Victorville
