internship_id,street,parish,city
760,957 Myra Street,Clarendon,Claremore
691,49 Cervantes Plaza,Westmoreland,Owensboro
1429,985 Homestead Parade,St.Andrew,Boca Raton
522,354 Touchard Lane,St Mary,Weatherford
454,134 Orchard Place,Kingston,Garden Grove
1534,114 Baltimore Brae,St. James,South Euclid
1094,192 Ofarrell Circle,Hanover,Ellensburg
1381,593 Bertie Minor Wynd,St. Thomas,Victorville
1465,864 Kinzey Concession road,St. Thomas,Harrisonburg
1229,579 Woodward Garden,Portland,High Point
1404,600 Vienna Walk,Manchester,Erlanger
1425,326 Ankeny Close,St. Thomas,Slidell
1454,1046 Isis Parade,Manchester,Moscow
977,972 Sproule Green,Trelawny,Brookfield
1498,1227 Red Rock Garden,Westmoreland,Thousand Oaks
1468,490 Industrial Road,Trelawny,South Holland
522,427 Kirkham Cove,St. Thomas,New Castle
1491,1171 Estero Field,St Mary,Denver
1010,605 Candlewood Pike,Manchester,Centerville
462,1345 Ingleside Manor,Manchester,Olive Branch
521,335 Dr Carlton B Goodlett Expressway,St. Elizabeth,Gilbert
1155,48 Ney Alley,St Mary,Winter Haven
1213,1357 Vernon Street,Trelawny,Tacoma
912,104 Brown Point,St.Andrew,Cedar Rapids
1013,1190 Rhode Island Mews,St. Elizabeth,Fridley
730,661 Brannan Point,Manchester,Moreno Valley
1492,807 Wilder Concession road,St. Elizabeth,Union City
1264,1133 Barneveld Trail,Manchester,Bartlesville
1425,1040 Somerset Plantation,Westmoreland,Susanville
1324,285 Jackson Point,Kingston,Junction City
1331,553 Tevis Drive,Trelawny,Newburgh
941,997 Moffitt Private,Clarendon,New Brunswick
645,1172 Lawton Turnpike,St. Catherine,Oxford
822,322 Reuel Trail,St. James,Augusta
1319,1033 Inca Court,St. Ann,Juneau
1166,461 Cyrus Close,St.Andrew,El Mirage
824,1064 Mclea Gardens,St. Elizabeth,Paragould
1311,1347 Jarboe Mall,Westmoreland,Plant City
1403,799 Twin Peaks Circle,St.Andrew,Peabody
1446,26 Alameda Plaza,Westmoreland,Salina
