company_id,position,profile_picture,description,tel_num,qualifications,gpa,start_date,end_date,is_active
520,Full Stack Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-229-6694,Cybersecurity,3.72,2021/12/12,2021/12/12,True
528,Back End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-920-4597,Computer Science,2.52,2021/5/16,2021/5/16,False
470,Front End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-406-8608,Computer Science,3.19,2021/5/21,2021/5/21,True
1102,Back End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-201-5100,Computer Engineering,3.42,2021/5/23,2022/5/23,False
1072,Full Stack Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-227-7875,Information Technology,2.93,2021/5/25,2022/5/25,True
450,Network Administrator,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-543-5850,Information Systems,3.64,2021/5/22,2021/5/22,False
1254,Back End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-399-4389,Information Technology,3.1,2021/12/19,2022/12/19,True
1171,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-638-3280,Information Technology,2.21,2021/7/8,2022/7/8,True
559,Software Engineer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-721-5170,Computer Engineering,2.05,2021/1/10,2021/1/10,False
932,Front End Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-188-3544,Information Science,3.62,2021/1/17,2021/1/17,False
531,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-730-0298,Information Science,3.92,2021/2/24,2021/2/24,False
1067,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-778-3070,Cybersecurity,2.04,2021/5/6,2022/5/6,True
987,Front End Developer,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-574-5225,Computer Science,3.07,2021/6/26,2022/6/26,True
1156,Back End Developer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-829-0436,Cybersecurity,2.87,2021/8/26,2022/8/26,False
341,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-107-6744,Cybersecurity,2.61,2021/4/20,2022/4/20,False
454,Network Analyst,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-172-9563,Information Systems,2.82,2021/4/3,2021/4/3,True
751,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-999-7729,Information Science,3.44,2021/1/19,2022/1/19,True
595,Network Analyst,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-494-2358,Computer Engineering,3.15,2021/1/27,2021/1/27,True
1397,Front End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-614-0822,Information Systems,2.46,2021/2/24,2022/2/24,False
563,Front End Developer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-250-7269,Cybersecurity,3.54,2021/5/22,2022/5/22,False
909,Software Engineer,default.png,We are seeking to recruit a suitably qualified experienced professional to fill the position stated above. We are looking forward to working with you in our company. ,876-571-2837,Information Technology,3.07,2021/3/24,2022/3/24,True
633,Full Stack Developer,default.png,Responsible for the development of detailed implementation plans for solutions to be deployed to the live environment. ,876-426-8571,Information Technology,2.94,2021/9/26,2022/9/26,False
375,Data Analysts,default.png,"Expected to participate in the implementation of information systems policies, procedures, standards and guidelines across all divisions and subsidiaries. ",876-054-7271,Information Systems,3.83,2021/3/10,2022/3/10,True
948,Software Engineer,default.png,"We are looking for a hardworking individual, who is a quick learner and open to learn and grow with our company.",876-816-1514,Information Technology,2.59,2021/4/27,2022/4/27,True
